  V_VI                 , V(C1:1)              
  0.000000000000e+000  ,2.999999949833e+000  
  1.000000000000e-002  ,2.999983227211e+000  
  2.000000000000e-002  ,2.999932834648e+000  
  3.000000000000e-002  ,2.999848430314e+000  
  4.000000000000e-002  ,2.999729666551e+000  
  5.000000000000e-002  ,2.999576189743e+000  
  6.000000000000e-002  ,2.999387640163e+000  
  7.000000000000e-002  ,2.999163651829e+000  
  8.000000000000e-002  ,2.998903852349e+000  
  9.000000000000e-002  ,2.998607862764e+000  
  1.000000000000e-001  ,2.998275297381e+000  
  1.100000000000e-001  ,2.997905763611e+000  
  1.200000000000e-001  ,2.997498861788e+000  
  1.300000000000e-001  ,2.997054184995e+000  
  1.400000000000e-001  ,2.996571318873e+000  
  1.500000000000e-001  ,2.996049841435e+000  
  1.600000000000e-001  ,2.995489322862e+000  
  1.700000000000e-001  ,2.994889325301e+000  
  1.800000000000e-001  ,2.994249402656e+000  
  1.900000000000e-001  ,2.993569100362e+000  
  2.000000000000e-001  ,2.992847955165e+000  
  2.100000000000e-001  ,2.992085494884e+000  
  2.200000000000e-001  ,2.991281238169e+000  
  2.300000000000e-001  ,2.990434694251e+000  
  2.400000000000e-001  ,2.989545362678e+000  
  2.500000000000e-001  ,2.988612733052e+000  
  2.600000000000e-001  ,2.987636284744e+000  
  2.700000000000e-001  ,2.986615486608e+000  
  2.800000000000e-001  ,2.985549796681e+000  
  2.900000000000e-001  ,2.984438661867e+000  
  3.000000000000e-001  ,2.983281517623e+000  
  3.100000000000e-001  ,2.982077787619e+000  
  3.200000000000e-001  ,2.980826883388e+000  
  3.300000000000e-001  ,2.979528203972e+000  
  3.400000000000e-001  ,2.978181135543e+000  
  3.500000000000e-001  ,2.976785051015e+000  
  3.600000000000e-001  ,2.975339309640e+000  
  3.700000000000e-001  ,2.973843256586e+000  
  3.800000000000e-001  ,2.972296222502e+000  
  3.900000000000e-001  ,2.970697523062e+000  
  4.000000000000e-001  ,2.969046458492e+000  
  4.100000000000e-001  ,2.967342313076e+000  
  4.200000000000e-001  ,2.965584354646e+000  
  4.300000000000e-001  ,2.963771834045e+000  
  4.400000000000e-001  ,2.961903984570e+000  
